CATEGORIES
cat_idx,cat_code,cat_desc,cat_indent
1,D,"Doubles",0
2,M,"Multi-Section",0
3,S,"Singles",0
4,T,"Total Homes",0


DATA TYPES
dt_idx,dt_code,dt_desc,dt_unit
1,ISR,"Intended for Sale for Residential Use",K
2,NR,"For Non-Residential or Other Use",K
3,SH,"Total Shipments",K
4,SP,"Average Sales Price (2014-Present)",DOL
5,SPR,"Sold and Placed for Residential Use (2014-Present)",K


ERROR TYPES
et_idx,err_code,err_desc,err_unit
1,E_IN,"Relative Standard Error for Total Inventory",PCT
2,E_PL,"Relative Standard Error for Total Placements",PCT
3,E_PR,"Relative Standard Error for Average Sales Price",PCT


GEO LEVELS
geo_idx,geo_code,geo_desc
1,MW,"Midwest Total"
2,NE,"Northeast Total"
3,SO,"South Total"
4,US,"U.S. Total"
5,WE,"West Total"


TIME PERIODS
per_idx,per_name
1,Jan-1959
2,Feb-1959
3,Mar-1959
4,Apr-1959
5,May-1959
6,Jun-1959
7,Jul-1959
8,Aug-1959
9,Sep-1959
10,Oct-1959
11,Nov-1959
12,Dec-1959
13,Jan-1960
14,Feb-1960
15,Mar-1960
16,Apr-1960
17,May-1960
18,Jun-1960
19,Jul-1960
20,Aug-1960
21,Sep-1960
22,Oct-1960
23,Nov-1960
24,Dec-1960
25,Jan-1961
26,Feb-1961
27,Mar-1961
28,Apr-1961
29,May-1961
30,Jun-1961
31,Jul-1961
32,Aug-1961
33,Sep-1961
34,Oct-1961
35,Nov-1961
36,Dec-1961
37,Jan-1962
38,Feb-1962
39,Mar-1962
40,Apr-1962
41,May-1962
42,Jun-1962
43,Jul-1962
44,Aug-1962
45,Sep-1962
46,Oct-1962
47,Nov-1962
48,Dec-1962
49,Jan-1963
50,Feb-1963
51,Mar-1963
52,Apr-1963
53,May-1963
54,Jun-1963
55,Jul-1963
56,Aug-1963
57,Sep-1963
58,Oct-1963
59,Nov-1963
60,Dec-1963
61,Jan-1964
62,Feb-1964
63,Mar-1964
64,Apr-1964
65,May-1964
66,Jun-1964
67,Jul-1964
68,Aug-1964
69,Sep-1964
70,Oct-1964
71,Nov-1964
72,Dec-1964
73,Jan-1965
74,Feb-1965
75,Mar-1965
76,Apr-1965
77,May-1965
78,Jun-1965
79,Jul-1965
80,Aug-1965
81,Sep-1965
82,Oct-1965
83,Nov-1965
84,Dec-1965
85,Jan-1966
86,Feb-1966
87,Mar-1966
88,Apr-1966
89,May-1966
90,Jun-1966
91,Jul-1966
92,Aug-1966
93,Sep-1966
94,Oct-1966
95,Nov-1966
96,Dec-1966
97,Jan-1967
98,Feb-1967
99,Mar-1967
100,Apr-1967
101,May-1967
102,Jun-1967
103,Jul-1967
104,Aug-1967
105,Sep-1967
106,Oct-1967
107,Nov-1967
108,Dec-1967
109,Jan-1968
110,Feb-1968
111,Mar-1968
112,Apr-1968
113,May-1968
114,Jun-1968
115,Jul-1968
116,Aug-1968
117,Sep-1968
118,Oct-1968
119,Nov-1968
120,Dec-1968
121,Jan-1969
122,Feb-1969
123,Mar-1969
124,Apr-1969
125,May-1969
126,Jun-1969
127,Jul-1969
128,Aug-1969
129,Sep-1969
130,Oct-1969
131,Nov-1969
132,Dec-1969
133,Jan-1970
134,Feb-1970
135,Mar-1970
136,Apr-1970
137,May-1970
138,Jun-1970
139,Jul-1970
140,Aug-1970
141,Sep-1970
142,Oct-1970
143,Nov-1970
144,Dec-1970
145,Jan-1971
146,Feb-1971
147,Mar-1971
148,Apr-1971
149,May-1971
150,Jun-1971
151,Jul-1971
152,Aug-1971
153,Sep-1971
154,Oct-1971
155,Nov-1971
156,Dec-1971
157,Jan-1972
158,Feb-1972
159,Mar-1972
160,Apr-1972
161,May-1972
162,Jun-1972
163,Jul-1972
164,Aug-1972
165,Sep-1972
166,Oct-1972
167,Nov-1972
168,Dec-1972
169,Jan-1973
170,Feb-1973
171,Mar-1973
172,Apr-1973
173,May-1973
174,Jun-1973
175,Jul-1973
176,Aug-1973
177,Sep-1973
178,Oct-1973
179,Nov-1973
180,Dec-1973
181,Jan-1974
182,Feb-1974
183,Mar-1974
184,Apr-1974
185,May-1974
186,Jun-1974
187,Jul-1974
188,Aug-1974
189,Sep-1974
190,Oct-1974
191,Nov-1974
192,Dec-1974
193,Jan-1975
194,Feb-1975
195,Mar-1975
196,Apr-1975
197,May-1975
198,Jun-1975
199,Jul-1975
200,Aug-1975
201,Sep-1975
202,Oct-1975
203,Nov-1975
204,Dec-1975
205,Jan-1976
206,Feb-1976
207,Mar-1976
208,Apr-1976
209,May-1976
210,Jun-1976
211,Jul-1976
212,Aug-1976
213,Sep-1976
214,Oct-1976
215,Nov-1976
216,Dec-1976
217,Jan-1977
218,Feb-1977
219,Mar-1977
220,Apr-1977
221,May-1977
222,Jun-1977
223,Jul-1977
224,Aug-1977
225,Sep-1977
226,Oct-1977
227,Nov-1977
228,Dec-1977
229,Jan-1978
230,Feb-1978
231,Mar-1978
232,Apr-1978
233,May-1978
234,Jun-1978
235,Jul-1978
236,Aug-1978
237,Sep-1978
238,Oct-1978
239,Nov-1978
240,Dec-1978
241,Jan-1979
242,Feb-1979
243,Mar-1979
244,Apr-1979
245,May-1979
246,Jun-1979
247,Jul-1979
248,Aug-1979
249,Sep-1979
250,Oct-1979
251,Nov-1979
252,Dec-1979
253,Jan-1980
254,Feb-1980
255,Mar-1980
256,Apr-1980
257,May-1980
258,Jun-1980
259,Jul-1980
260,Aug-1980
261,Sep-1980
262,Oct-1980
263,Nov-1980
264,Dec-1980
265,Jan-1981
266,Feb-1981
267,Mar-1981
268,Apr-1981
269,May-1981
270,Jun-1981
271,Jul-1981
272,Aug-1981
273,Sep-1981
274,Oct-1981
275,Nov-1981
276,Dec-1981
277,Jan-1982
278,Feb-1982
279,Mar-1982
280,Apr-1982
281,May-1982
282,Jun-1982
283,Jul-1982
284,Aug-1982
285,Sep-1982
286,Oct-1982
287,Nov-1982
288,Dec-1982
289,Jan-1983
290,Feb-1983
291,Mar-1983
292,Apr-1983
293,May-1983
294,Jun-1983
295,Jul-1983
296,Aug-1983
297,Sep-1983
298,Oct-1983
299,Nov-1983
300,Dec-1983
301,Jan-1984
302,Feb-1984
303,Mar-1984
304,Apr-1984
305,May-1984
306,Jun-1984
307,Jul-1984
308,Aug-1984
309,Sep-1984
310,Oct-1984
311,Nov-1984
312,Dec-1984
313,Jan-1985
314,Feb-1985
315,Mar-1985
316,Apr-1985
317,May-1985
318,Jun-1985
319,Jul-1985
320,Aug-1985
321,Sep-1985
322,Oct-1985
323,Nov-1985
324,Dec-1985
325,Jan-1986
326,Feb-1986
327,Mar-1986
328,Apr-1986
329,May-1986
330,Jun-1986
331,Jul-1986
332,Aug-1986
333,Sep-1986
334,Oct-1986
335,Nov-1986
336,Dec-1986
337,Jan-1987
338,Feb-1987
339,Mar-1987
340,Apr-1987
341,May-1987
342,Jun-1987
343,Jul-1987
344,Aug-1987
345,Sep-1987
346,Oct-1987
347,Nov-1987
348,Dec-1987
349,Jan-1988
350,Feb-1988
351,Mar-1988
352,Apr-1988
353,May-1988
354,Jun-1988
355,Jul-1988
356,Aug-1988
357,Sep-1988
358,Oct-1988
359,Nov-1988
360,Dec-1988
361,Jan-1989
362,Feb-1989
363,Mar-1989
364,Apr-1989
365,May-1989
366,Jun-1989
367,Jul-1989
368,Aug-1989
369,Sep-1989
370,Oct-1989
371,Nov-1989
372,Dec-1989
373,Jan-1990
374,Feb-1990
375,Mar-1990
376,Apr-1990
377,May-1990
378,Jun-1990
379,Jul-1990
380,Aug-1990
381,Sep-1990
382,Oct-1990
383,Nov-1990
384,Dec-1990
385,Jan-1991
386,Feb-1991
387,Mar-1991
388,Apr-1991
389,May-1991
390,Jun-1991
391,Jul-1991
392,Aug-1991
393,Sep-1991
394,Oct-1991
395,Nov-1991
396,Dec-1991
397,Jan-1992
398,Feb-1992
399,Mar-1992
400,Apr-1992
401,May-1992
402,Jun-1992
403,Jul-1992
404,Aug-1992
405,Sep-1992
406,Oct-1992
407,Nov-1992
408,Dec-1992
409,Jan-1993
410,Feb-1993
411,Mar-1993
412,Apr-1993
413,May-1993
414,Jun-1993
415,Jul-1993
416,Aug-1993
417,Sep-1993
418,Oct-1993
419,Nov-1993
420,Dec-1993
421,Jan-1994
422,Feb-1994
423,Mar-1994
424,Apr-1994
425,May-1994
426,Jun-1994
427,Jul-1994
428,Aug-1994
429,Sep-1994
430,Oct-1994
431,Nov-1994
432,Dec-1994
433,Jan-1995
434,Feb-1995
435,Mar-1995
436,Apr-1995
437,May-1995
438,Jun-1995
439,Jul-1995
440,Aug-1995
441,Sep-1995
442,Oct-1995
443,Nov-1995
444,Dec-1995
445,Jan-1996
446,Feb-1996
447,Mar-1996
448,Apr-1996
449,May-1996
450,Jun-1996
451,Jul-1996
452,Aug-1996
453,Sep-1996
454,Oct-1996
455,Nov-1996
456,Dec-1996
457,Jan-1997
458,Feb-1997
459,Mar-1997
460,Apr-1997
461,May-1997
462,Jun-1997
463,Jul-1997
464,Aug-1997
465,Sep-1997
466,Oct-1997
467,Nov-1997
468,Dec-1997
469,Jan-1998
470,Feb-1998
471,Mar-1998
472,Apr-1998
473,May-1998
474,Jun-1998
475,Jul-1998
476,Aug-1998
477,Sep-1998
478,Oct-1998
479,Nov-1998
480,Dec-1998
481,Jan-1999
482,Feb-1999
483,Mar-1999
484,Apr-1999
485,May-1999
486,Jun-1999
487,Jul-1999
488,Aug-1999
489,Sep-1999
490,Oct-1999
491,Nov-1999
492,Dec-1999
493,Jan-2000
494,Feb-2000
495,Mar-2000
496,Apr-2000
497,May-2000
498,Jun-2000
499,Jul-2000
500,Aug-2000
501,Sep-2000
502,Oct-2000
503,Nov-2000
504,Dec-2000
505,Jan-2001
506,Feb-2001
507,Mar-2001
508,Apr-2001
509,May-2001
510,Jun-2001
511,Jul-2001
512,Aug-2001
513,Sep-2001
514,Oct-2001
515,Nov-2001
516,Dec-2001
517,Jan-2002
518,Feb-2002
519,Mar-2002
520,Apr-2002
521,May-2002
522,Jun-2002
523,Jul-2002
524,Aug-2002
525,Sep-2002
526,Oct-2002
527,Nov-2002
528,Dec-2002
529,Jan-2003
530,Feb-2003
531,Mar-2003
532,Apr-2003
533,May-2003
534,Jun-2003
535,Jul-2003
536,Aug-2003
537,Sep-2003
538,Oct-2003
539,Nov-2003
540,Dec-2003
541,Jan-2004
542,Feb-2004
543,Mar-2004
544,Apr-2004
545,May-2004
546,Jun-2004
547,Jul-2004
548,Aug-2004
549,Sep-2004
550,Oct-2004
551,Nov-2004
552,Dec-2004
553,Jan-2005
554,Feb-2005
555,Mar-2005
556,Apr-2005
557,May-2005
558,Jun-2005
559,Jul-2005
560,Aug-2005
561,Sep-2005
562,Oct-2005
563,Nov-2005
564,Dec-2005
565,Jan-2006
566,Feb-2006
567,Mar-2006
568,Apr-2006
569,May-2006
570,Jun-2006
571,Jul-2006
572,Aug-2006
573,Sep-2006
574,Oct-2006
575,Nov-2006
576,Dec-2006
577,Jan-2007
578,Feb-2007
579,Mar-2007
580,Apr-2007
581,May-2007
582,Jun-2007
583,Jul-2007
584,Aug-2007
585,Sep-2007
586,Oct-2007
587,Nov-2007
588,Dec-2007
589,Jan-2008
590,Feb-2008
591,Mar-2008
592,Apr-2008
593,May-2008
594,Jun-2008
595,Jul-2008
596,Aug-2008
597,Sep-2008
598,Oct-2008
599,Nov-2008
600,Dec-2008
601,Jan-2009
602,Feb-2009
603,Mar-2009
604,Apr-2009
605,May-2009
606,Jun-2009
607,Jul-2009
608,Aug-2009
609,Sep-2009
610,Oct-2009
611,Nov-2009
612,Dec-2009
613,Jan-2010
614,Feb-2010
615,Mar-2010
616,Apr-2010
617,May-2010
618,Jun-2010
619,Jul-2010
620,Aug-2010
621,Sep-2010
622,Oct-2010
623,Nov-2010
624,Dec-2010
625,Jan-2011
626,Feb-2011
627,Mar-2011
628,Apr-2011
629,May-2011
630,Jun-2011
631,Jul-2011
632,Aug-2011
633,Sep-2011
634,Oct-2011
635,Nov-2011
636,Dec-2011
637,Jan-2012
638,Feb-2012
639,Mar-2012
640,Apr-2012
641,May-2012
642,Jun-2012
643,Jul-2012
644,Aug-2012
645,Sep-2012
646,Oct-2012
647,Nov-2012
648,Dec-2012
649,Jan-2013
650,Feb-2013
651,Mar-2013
652,Apr-2013
653,May-2013
654,Jun-2013
655,Jul-2013
656,Aug-2013
657,Sep-2013
658,Oct-2013
659,Nov-2013
660,Dec-2013
661,Jan-2014
662,Feb-2014
663,Mar-2014
664,Apr-2014
665,May-2014
666,Jun-2014
667,Jul-2014
668,Aug-2014
669,Sep-2014
670,Oct-2014
671,Nov-2014
672,Dec-2014
673,Jan-2015
674,Feb-2015
675,Mar-2015
676,Apr-2015
677,May-2015
678,Jun-2015
679,Jul-2015
680,Aug-2015
681,Sep-2015
682,Oct-2015
683,Nov-2015
684,Dec-2015
685,Jan-2016
686,Feb-2016
687,Mar-2016
688,Apr-2016
689,May-2016
690,Jun-2016
691,Jul-2016
692,Aug-2016
693,Sep-2016
694,Oct-2016
695,Nov-2016
696,Dec-2016
697,Jan-2017
698,Feb-2017
699,Mar-2017
700,Apr-2017
701,May-2017
702,Jun-2017
703,Jul-2017
704,Aug-2017
705,Sep-2017
706,Oct-2017
707,Nov-2017
708,Dec-2017
709,Jan-2018
710,Feb-2018
711,Mar-2018
712,Apr-2018
713,May-2018
714,Jun-2018
715,Jul-2018
716,Aug-2018
717,Sep-2018
718,Oct-2018
719,Nov-2018
720,Dec-2018
721,Jan-2019
722,Feb-2019
723,Mar-2019
724,Apr-2019
725,May-2019
726,Jun-2019
727,Jul-2019
728,Aug-2019
729,Sep-2019
730,Oct-2019
731,Nov-2019
732,Dec-2019
733,Jan-2020
734,Feb-2020
735,Mar-2020
736,Apr-2020
737,May-2020
738,Jun-2020
739,Jul-2020
740,Aug-2020
741,Sep-2020
742,Oct-2020
743,Nov-2020
744,Dec-2020
745,Jan-2021
746,Feb-2021
747,Mar-2021
748,Apr-2021
749,May-2021
750,Jun-2021
751,Jul-2021
752,Aug-2021
753,Sep-2021
754,Oct-2021
755,Nov-2021
756,Dec-2021
757,Jan-2022
758,Feb-2022
759,Mar-2022
760,Apr-2022
761,May-2022
762,Jun-2022
763,Jul-2022
764,Aug-2022
765,Sep-2022
766,Oct-2022
767,Nov-2022
768,Dec-2022


NOTES
""


DATA UPDATED ON
Tuesday, 10-Jan-23 11:23:17 EST


DATA
per_idx,cat_idx,dt_idx,et_idx,geo_idx,is_adj,val
1,4,3,0,4,0,7
2,4,3,0,4,0,8
3,4,3,0,4,0,11
4,4,3,0,4,0,10
5,4,3,0,4,0,12
6,4,3,0,4,0,12
7,4,3,0,4,0,11
8,4,3,0,4,0,10
9,4,3,0,4,0,12
10,4,3,0,4,0,11.5
11,4,3,0,4,0,8.6
12,4,3,0,4,0,8.1
1,4,3,0,4,1,113
2,4,3,0,4,1,115
3,4,3,0,4,1,126
4,4,3,0,4,1,113
5,4,3,0,4,1,120
6,4,3,0,4,1,123
7,4,3,0,4,1,130
8,4,3,0,4,1,110
9,4,3,0,4,1,122
10,4,3,0,4,1,123
11,4,3,0,4,1,123
12,4,3,0,4,1,132
13,4,3,0,4,0,7
14,4,3,0,4,0,9
15,4,3,0,4,0,9
16,4,3,0,4,0,9
17,4,3,0,4,0,11
18,4,3,0,4,0,10
19,4,3,0,4,0,8
20,4,3,0,4,0,10
21,4,3,0,4,0,10
22,4,3,0,4,0,8.7
23,4,3,0,4,0,6.4
24,4,3,0,4,0,5.7
13,4,3,0,4,1,114
14,4,3,0,4,1,116
15,4,3,0,4,1,104
16,4,3,0,4,1,96
17,4,3,0,4,1,111
18,4,3,0,4,1,106
19,4,3,0,4,1,101
20,4,3,0,4,1,109
21,4,3,0,4,1,105
22,4,3,0,4,1,95
23,4,3,0,4,1,88
24,4,3,0,4,1,95
25,4,3,0,4,0,6
26,4,3,0,4,0,6
27,4,3,0,4,0,8
28,4,3,0,4,0,8
29,4,3,0,4,0,9
30,4,3,0,4,0,8
31,4,3,0,4,0,7
32,4,3,0,4,0,8
33,4,3,0,4,0,8
34,4,3,0,4,0,9
35,4,3,0,4,0,7.1
36,4,3,0,4,0,6
25,4,3,0,4,1,92
26,4,3,0,4,1,87
27,4,3,0,4,1,88
28,4,3,0,4,1,91
29,4,3,0,4,1,87
30,4,3,0,4,1,86
31,4,3,0,4,1,87
32,4,3,0,4,1,88
33,4,3,0,4,1,88
34,4,3,0,4,1,96
35,4,3,0,4,1,98
36,4,3,0,4,1,102
37,4,3,0,4,0,7
38,4,3,0,4,0,8
39,4,3,0,4,0,10
40,4,3,0,4,0,11
41,4,3,0,4,0,12
42,4,3,0,4,0,11
43,4,3,0,4,0,9
44,4,3,0,4,0,11
45,4,3,0,4,0,11
46,4,3,0,4,0,12.3
47,4,3,0,4,0,9.1
48,4,3,0,4,0,7.4
37,4,3,0,4,1,106
38,4,3,0,4,1,111
39,4,3,0,4,1,113
40,4,3,0,4,1,118
41,4,3,0,4,1,117
42,4,3,0,4,1,119
43,4,3,0,4,1,117
44,4,3,0,4,1,114
45,4,3,0,4,1,123
46,4,3,0,4,1,124
47,4,3,0,4,1,126
48,4,3,0,4,1,126
49,4,3,0,4,0,9
50,4,3,0,4,0,10
51,4,3,0,4,0,12
52,4,3,0,4,0,14
53,4,3,0,4,0,15
54,4,3,0,4,0,14
55,4,3,0,4,0,13
56,4,3,0,4,0,14
57,4,3,0,4,0,14
58,4,3,0,4,0,15.6
59,4,3,0,4,0,11.8
60,4,3,0,4,0,10
49,4,3,0,4,1,135
50,4,3,0,4,1,141
51,4,3,0,4,1,138
52,4,3,0,4,1,149
53,4,3,0,4,1,146
54,4,3,0,4,1,150
55,4,3,0,4,1,154
56,4,3,0,4,1,151
57,4,3,0,4,1,153
58,4,3,0,4,1,162
59,4,3,0,4,1,164
60,4,3,0,4,1,167
61,4,3,0,4,0,11
62,4,3,0,4,0,13
63,4,3,0,4,0,16
64,4,3,0,4,0,17
65,4,3,0,4,0,18
66,4,3,0,4,0,19
67,4,3,0,4,0,17
68,4,3,0,4,0,18
69,4,3,0,4,0,19
70,4,3,0,4,0,18.2
71,4,3,0,4,0,14.2
72,4,3,0,4,0,11.6
61,4,3,0,4,1,170
62,4,3,0,4,1,177
63,4,3,0,4,1,187
64,4,3,0,4,1,184
65,4,3,0,4,1,193
66,4,3,0,4,1,193
67,4,3,0,4,1,198
68,4,3,0,4,1,198
69,4,3,0,4,1,199
70,4,3,0,4,1,195
71,4,3,0,4,1,196
72,4,3,0,4,1,189
73,4,3,0,4,0,13
74,4,3,0,4,0,14
75,4,3,0,4,0,19
76,4,3,0,4,0,18
77,4,3,0,4,0,19
78,4,3,0,4,0,21
79,4,3,0,4,0,18
80,4,3,0,4,0,21
81,4,3,0,4,0,21
82,4,3,0,4,0,20.6
83,4,3,0,4,0,17.9
84,4,3,0,4,0,13.9
73,4,3,0,4,1,213
74,4,3,0,4,1,201
75,4,3,0,4,1,208
76,4,3,0,4,1,200
77,4,3,0,4,1,208
78,4,3,0,4,1,215
79,4,3,0,4,1,217
80,4,3,0,4,1,224
81,4,3,0,4,1,225
82,4,3,0,4,1,224
83,4,3,0,4,1,238
84,4,3,0,4,1,217
85,4,3,0,4,0,12
86,4,3,0,4,0,14
87,4,3,0,4,0,20
88,4,3,0,4,0,20
89,4,3,0,4,0,20
90,4,3,0,4,0,22
91,4,3,0,4,0,18
92,4,3,0,4,0,22
93,4,3,0,4,0,20
94,4,3,0,4,0,19.2
95,4,3,0,4,0,17.4
96,4,3,0,4,0,12.9
85,4,3,0,4,1,192
86,4,3,0,4,1,202
87,4,3,0,4,1,232
88,4,3,0,4,1,222
89,4,3,0,4,1,221
90,4,3,0,4,1,226
91,4,3,0,4,1,223
92,4,3,0,4,1,223
93,4,3,0,4,1,211
94,4,3,0,4,1,208
95,4,3,0,4,1,227
96,4,3,0,4,1,207
97,4,3,0,4,0,12
98,4,3,0,4,0,14
99,4,3,0,4,0,18
100,4,3,0,4,0,19
101,4,3,0,4,0,22
102,4,3,0,4,0,23
103,4,3,0,4,0,19
104,4,3,0,4,0,25
105,4,3,0,4,0,24
106,4,3,0,4,0,24.3
107,4,3,0,4,0,20.9
108,4,3,0,4,0,17.8
97,4,3,0,4,1,198
98,4,3,0,4,1,205
99,4,3,0,4,1,211
100,4,3,0,4,1,231
101,4,3,0,4,1,233
102,4,3,0,4,1,240
103,4,3,0,4,1,239
104,4,3,0,4,1,251
105,4,3,0,4,1,258
106,4,3,0,4,1,254
107,4,3,0,4,1,272
108,4,3,0,4,1,287
109,4,3,0,4,0,19
110,4,3,0,4,0,21
111,4,3,0,4,0,24
112,4,3,0,4,0,27
113,4,3,0,4,0,28
114,4,3,0,4,0,27
115,4,3,0,4,0,27
116,4,3,0,4,0,31
117,4,3,0,4,0,30
118,4,3,0,4,0,33.5
119,4,3,0,4,0,27.6
120,4,3,0,4,0,24
109,4,3,0,4,1,293
110,4,3,0,4,1,295
111,4,3,0,4,1,299
112,4,3,0,4,1,299
113,4,3,0,4,1,301
114,4,3,0,4,1,303
115,4,3,0,4,1,308
116,4,3,0,4,1,319
117,4,3,0,4,1,317
118,4,3,0,4,1,338
119,4,3,0,4,1,364
120,4,3,0,4,1,372
121,4,3,0,4,0,27
122,4,3,0,4,0,29
