CATEGORIES
cat_idx,cat_code,cat_desc,cat_indent
1,42,"42: Total Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices",0
2,423,"423: Durable Goods",1
3,424,"424: Nondurable Goods",1


DATA TYPES
dt_idx,dt_code,dt_desc,dt_unit
1,IM,"Inventories - Monthly",MLN$
2,MPCIM,"Inventories - Monthly Percent Change",PCT


ERROR TYPES
et_idx,err_code,err_desc,err_unit
1,E_IM,"CV of Inventories - Monthly",PCT
2,E_MPCIM,"SE of Inventories - Monthly Percent Change",PCT


GEO LEVELS
geo_idx,geo_code,geo_desc
1,US,"U.S. Total"


TIME PERIODS
per_idx,per_name
1,Jan-1992
2,Feb-1992
3,Mar-1992
4,Apr-1992
5,May-1992
6,Jun-1992
7,Jul-1992
8,Aug-1992
9,Sep-1992
10,Oct-1992
11,Nov-1992
12,Dec-1992
13,Jan-1993
14,Feb-1993
15,Mar-1993
16,Apr-1993
17,May-1993
18,Jun-1993
19,Jul-1993
20,Aug-1993
21,Sep-1993
22,Oct-1993
23,Nov-1993
24,Dec-1993
25,Jan-1994
26,Feb-1994
27,Mar-1994
28,Apr-1994
29,May-1994
30,Jun-1994
31,Jul-1994
32,Aug-1994
33,Sep-1994
34,Oct-1994
35,Nov-1994
36,Dec-1994
37,Jan-1995
38,Feb-1995
39,Mar-1995
40,Apr-1995
41,May-1995
42,Jun-1995
43,Jul-1995
44,Aug-1995
45,Sep-1995
46,Oct-1995
47,Nov-1995
48,Dec-1995
49,Jan-1996
50,Feb-1996
51,Mar-1996
52,Apr-1996
53,May-1996
54,Jun-1996
55,Jul-1996
56,Aug-1996
57,Sep-1996
58,Oct-1996
59,Nov-1996
60,Dec-1996
61,Jan-1997
62,Feb-1997
63,Mar-1997
64,Apr-1997
65,May-1997
66,Jun-1997
67,Jul-1997
68,Aug-1997
69,Sep-1997
70,Oct-1997
71,Nov-1997
72,Dec-1997
73,Jan-1998
74,Feb-1998
75,Mar-1998
76,Apr-1998
77,May-1998
78,Jun-1998
79,Jul-1998
80,Aug-1998
81,Sep-1998
82,Oct-1998
83,Nov-1998
84,Dec-1998
85,Jan-1999
86,Feb-1999
87,Mar-1999
88,Apr-1999
89,May-1999
90,Jun-1999
91,Jul-1999
92,Aug-1999
93,Sep-1999
94,Oct-1999
95,Nov-1999
96,Dec-1999
97,Jan-2000
98,Feb-2000
99,Mar-2000
100,Apr-2000
101,May-2000
102,Jun-2000
103,Jul-2000
104,Aug-2000
105,Sep-2000
106,Oct-2000
107,Nov-2000
108,Dec-2000
109,Jan-2001
110,Feb-2001
111,Mar-2001
112,Apr-2001
113,May-2001
114,Jun-2001
115,Jul-2001
116,Aug-2001
117,Sep-2001
118,Oct-2001
119,Nov-2001
120,Dec-2001
121,Jan-2002
122,Feb-2002
123,Mar-2002
124,Apr-2002
125,May-2002
126,Jun-2002
127,Jul-2002
128,Aug-2002
129,Sep-2002
130,Oct-2002
131,Nov-2002
132,Dec-2002
133,Jan-2003
134,Feb-2003
135,Mar-2003
136,Apr-2003
137,May-2003
138,Jun-2003
139,Jul-2003
140,Aug-2003
141,Sep-2003
142,Oct-2003
143,Nov-2003
144,Dec-2003
145,Jan-2004
146,Feb-2004
147,Mar-2004
148,Apr-2004
149,May-2004
150,Jun-2004
151,Jul-2004
152,Aug-2004
153,Sep-2004
154,Oct-2004
155,Nov-2004
156,Dec-2004
157,Jan-2005
158,Feb-2005
159,Mar-2005
160,Apr-2005
161,May-2005
162,Jun-2005
163,Jul-2005
164,Aug-2005
165,Sep-2005
166,Oct-2005
167,Nov-2005
168,Dec-2005
169,Jan-2006
170,Feb-2006
171,Mar-2006
172,Apr-2006
173,May-2006
174,Jun-2006
175,Jul-2006
176,Aug-2006
177,Sep-2006
178,Oct-2006
179,Nov-2006
180,Dec-2006
181,Jan-2007
182,Feb-2007
183,Mar-2007
184,Apr-2007
185,May-2007
186,Jun-2007
187,Jul-2007
188,Aug-2007
189,Sep-2007
190,Oct-2007
191,Nov-2007
192,Dec-2007
193,Jan-2008
194,Feb-2008
195,Mar-2008
196,Apr-2008
197,May-2008
198,Jun-2008
199,Jul-2008
200,Aug-2008
201,Sep-2008
202,Oct-2008
203,Nov-2008
204,Dec-2008
205,Jan-2009
206,Feb-2009
207,Mar-2009
208,Apr-2009
209,May-2009
210,Jun-2009
211,Jul-2009
212,Aug-2009
213,Sep-2009
214,Oct-2009
215,Nov-2009
216,Dec-2009
217,Jan-2010
218,Feb-2010
219,Mar-2010
220,Apr-2010
221,May-2010
222,Jun-2010
223,Jul-2010
224,Aug-2010
225,Sep-2010
226,Oct-2010
227,Nov-2010
228,Dec-2010
229,Jan-2011
230,Feb-2011
231,Mar-2011
232,Apr-2011
233,May-2011
234,Jun-2011
235,Jul-2011
236,Aug-2011
237,Sep-2011
238,Oct-2011
239,Nov-2011
240,Dec-2011
241,Jan-2012
242,Feb-2012
243,Mar-2012
244,Apr-2012
245,May-2012
246,Jun-2012
247,Jul-2012
248,Aug-2012
249,Sep-2012
250,Oct-2012
251,Nov-2012
252,Dec-2012
253,Jan-2013
254,Feb-2013
255,Mar-2013
256,Apr-2013
257,May-2013
258,Jun-2013
259,Jul-2013
260,Aug-2013
261,Sep-2013
262,Oct-2013
263,Nov-2013
264,Dec-2013
265,Jan-2014
266,Feb-2014
267,Mar-2014
268,Apr-2014
269,May-2014
270,Jun-2014
271,Jul-2014
272,Aug-2014
273,Sep-2014
274,Oct-2014
275,Nov-2014
276,Dec-2014
277,Jan-2015
278,Feb-2015
279,Mar-2015
280,Apr-2015
281,May-2015
282,Jun-2015
283,Jul-2015
284,Aug-2015
285,Sep-2015
286,Oct-2015
287,Nov-2015
288,Dec-2015
289,Jan-2016
290,Feb-2016
291,Mar-2016
292,Apr-2016
293,May-2016
294,Jun-2016
295,Jul-2016
296,Aug-2016
297,Sep-2016
298,Oct-2016
299,Nov-2016
300,Dec-2016
301,Jan-2017
302,Feb-2017
303,Mar-2017
304,Apr-2017
305,May-2017
306,Jun-2017
307,Jul-2017
308,Aug-2017
309,Sep-2017
310,Oct-2017
311,Nov-2017
312,Dec-2017
313,Jan-2018
314,Feb-2018
315,Mar-2018
316,Apr-2018
317,May-2018
318,Jun-2018
319,Jul-2018
320,Aug-2018
321,Sep-2018
322,Oct-2018
323,Nov-2018
324,Dec-2018
325,Jan-2019
326,Feb-2019
327,Mar-2019
328,Apr-2019
329,May-2019
330,Jun-2019
331,Jul-2019
332,Aug-2019
333,Sep-2019
334,Oct-2019
335,Nov-2019
336,Dec-2019
337,Jan-2020
338,Feb-2020
339,Mar-2020
340,Apr-2020
341,May-2020
342,Jun-2020
343,Jul-2020
344,Aug-2020
345,Sep-2020
346,Oct-2020
347,Nov-2020
348,Dec-2020
349,Jan-2021
350,Feb-2021
351,Mar-2021
352,Apr-2021
353,May-2021
354,Jun-2021
355,Jul-2021
356,Aug-2021
357,Sep-2021
358,Oct-2021
359,Nov-2021
360,Dec-2021
361,Jan-2022
362,Feb-2022
363,Mar-2022
364,Apr-2022
365,May-2022
366,Jun-2022
367,Jul-2022
368,Aug-2022
369,Sep-2022
370,Oct-2022
371,Nov-2022
372,Dec-2022


NOTES
""


DATA UPDATED ON
Tuesday, 27-Dec-22 07:31:42 EST


DATA
per_idx,cat_idx,dt_idx,et_idx,geo_idx,is_adj,val
1,1,1,0,1,1,188403
2,1,1,0,1,1,189335
3,1,1,0,1,1,190547
4,1,1,0,1,1,189951
5,1,1,0,1,1,189115
6,1,1,0,1,1,192831
7,1,1,0,1,1,191989
8,1,1,0,1,1,192602
9,1,1,0,1,1,193344
10,1,1,0,1,1,193625
11,1,1,0,1,1,195300
12,1,1,0,1,1,196914
2,1,2,0,1,1,0.5
3,1,2,0,1,1,0.6
4,1,2,0,1,1,-0.3
5,1,2,0,1,1,-0.4
6,1,2,0,1,1,2.0
7,1,2,0,1,1,-0.4
8,1,2,0,1,1,0.3
9,1,2,0,1,1,0.4
10,1,2,0,1,1,0.1
11,1,2,0,1,1,0.9
12,1,2,0,1,1,0.8
13,1,1,0,1,1,197552
14,1,1,0,1,1,197207
15,1,1,0,1,1,198831
16,1,1,0,1,1,199622
17,1,1,0,1,1,199395
18,1,1,0,1,1,199698
19,1,1,0,1,1,199737
20,1,1,0,1,1,201788
21,1,1,0,1,1,202858
22,1,1,0,1,1,202074
23,1,1,0,1,1,203158
24,1,1,0,1,1,204842
13,1,2,0,1,1,0.3
14,1,2,0,1,1,-0.2
15,1,2,0,1,1,0.8
16,1,2,0,1,1,0.4
17,1,2,0,1,1,-0.1
18,1,2,0,1,1,0.2
19,1,2,0,1,1,0.0
20,1,2,0,1,1,1.0
21,1,2,0,1,1,0.5
22,1,2,0,1,1,-0.4
23,1,2,0,1,1,0.5
24,1,2,0,1,1,0.8
25,1,1,0,1,1,204844
26,1,1,0,1,1,206498
27,1,1,0,1,1,205748
28,1,1,0,1,1,206510
29,1,1,0,1,1,210080
30,1,1,0,1,1,209820
31,1,1,0,1,1,211902
32,1,1,0,1,1,213360
33,1,1,0,1,1,215081
34,1,1,0,1,1,218049
35,1,1,0,1,1,219673
36,1,1,0,1,1,221978
25,1,2,0,1,1,0.0
26,1,2,0,1,1,0.8
27,1,2,0,1,1,-0.4
28,1,2,0,1,1,0.4
29,1,2,0,1,1,1.7
30,1,2,0,1,1,-0.1
31,1,2,0,1,1,1.0
32,1,2,0,1,1,0.7
33,1,2,0,1,1,0.8
34,1,2,0,1,1,1.4
35,1,2,0,1,1,0.7
36,1,2,0,1,1,1.0
37,1,1,0,1,1,224148
38,1,1,0,1,1,226012
39,1,1,0,1,1,228569
40,1,1,0,1,1,231002
41,1,1,0,1,1,231862
42,1,1,0,1,1,233297
43,1,1,0,1,1,235664
44,1,1,0,1,1,236003
45,1,1,0,1,1,237075
46,1,1,0,1,1,238005
47,1,1,0,1,1,238149
48,1,1,0,1,1,238392
37,1,2,0,1,1,1.0
38,1,2,0,1,1,0.8
39,1,2,0,1,1,1.1
40,1,2,0,1,1,1.1
41,1,2,0,1,1,0.4
42,1,2,0,1,1,0.6
43,1,2,0,1,1,1.0
44,1,2,0,1,1,0.1
45,1,2,0,1,1,0.5
46,1,2,0,1,1,0.4
47,1,2,0,1,1,0.1
48,1,2,0,1,1,0.1
49,1,1,0,1,1,239788
50,1,1,0,1,1,239571
51,1,1,0,1,1,239391
52,1,1,0,1,1,242644
53,1,1,0,1,1,242517
54,1,1,0,1,1,241659
55,1,1,0,1,1,241933
56,1,1,0,1,1,241755
57,1,1,0,1,1,240016
58,1,1,0,1,1,240734
59,1,1,0,1,1,240909
60,1,1,0,1,1,241058
