CATEGORIES
cat_idx,cat_code,cat_desc,cat_indent
1,22T,"22: Utilities",0
2,2211T,"2211: Electric Power Generation,Transmission and Distribution",1
3,22121T,"2212: Natural Gas Distribution",1
4,2213T,"2213: Water,Sewage and Other Systems",1
5,4849YT,"48pt-49: Transportation and Warehousing",0
6,481T,"481: Air Transportation",1
7,483T,"483: Water Transportation",1
8,4831T,"4831: Deep Sea,Coastal,and Great Lakes Water Transportation",2
9,4832T,"4832: Inland Water Transportation",2
10,484T,"484: Truck Transportation",1
11,4841T,"4841: General Freight Trucking",2
12,48412T,"48412: General Freight Trucking,Long-Distance",3
13,4842T,"4842: Specialized Freight Trucking",2
14,485T,"485: Transit and Ground Passenger Transportation",1
15,486T,"486: Pipeline Transportation",1
16,487T,"487: Scenic and Sightseeing Transportation",1
17,488T,"488: Support Activities For Transportation",1
18,492T,"492: Couriers and Messengers",1
19,493T,"493: Warehousing and Storage",1
20,51T,"51: Information",0
21,511T,"511: Publishing Industries (Except Internet)",1
22,51111T,"51111: Newspaper Publishers",3
23,51112T,"51112: Periodical Publishers",3
24,5111XT,"5111pt: Book,Directory and Mailing List,and Other Publishers",2
25,5112T,"5112: Software Publishers",2
26,512T,"512: Motion Picture and Sound Recording Industries",1
27,515T,"515: Broadcasting (Except Internet)",1
28,5151T,"5151: Radio and Television Broadcasting",2
29,5152T,"5152: Cable and Other Subscription Programming",2
30,517T,"517: Telecommunications",1
31,5171T,"5171: Wired Telecommunications Carriers",2
32,5172T,"5172: Wireless Telecommunications Carriers (Except Satellite)",2
33,517YT,"517pt: Other Telecommunications",2
34,518T,"518: Data Processing,Hosting,and Related Services",1
35,519T,"519: Other Information Services",1
36,52T,"52: Finance and Insurance",0
37,52PTT,"52pt: Finance and Insurance (Except Monetary Authorities-Central Bank)",0
38,5211T,"521: Monetary Authorities-Central Bank",1
39,522T,"522: Credit Intermediation and Related Activities",1
40,5221T,"5221: Depository Credit Intermediation",2
41,5222T,"5222: Nondepository Credit Intermediation",2
42,5223T,"5223: Activities Related to Credit Intermediation",2
43,523T,"523: Securities,Commodity Contracts,and Other Financial Investments and Related Activities",1
44,5231T,"5231: Securities and Commodity Contracts Intermediation and Brokerage",2
45,52321T,"5232: Securities and Commodity Exchanges",2
46,5239T,"5239: Other Financial Investment Activities",2
47,524T,"524: Insurance Carriers and Related Activities",1
48,5241T,"5241: Insurance Carriers",2
49,5242T,"5242: Agencies,Brokerages,and Other Insurance Related Activities",2
50,53T,"53: Real Estate and Rental and Leasing",0
51,531T,"531: Real Estate",1
52,5311T,"5311: Lessors Of Real Estate",2
53,5312T,"5312: Offices Of Real Estate Agents and Brokers",2
54,5313T,"5313: Activities Related to Real Estate",2
55,532T,"532: Rental and Leasing Services",1
56,5321T,"5321: Automotive Equipment Rental and Leasing",2
57,53211T,"53211: Passenger Car Rental and Leasing",3
58,53212T,"53212: Truck,Utility Trailer,and RV (Recreational Vehicle) Rental and Leasing",3
59,5322T,"5322: Consumer Goods Rental",2
60,5323T,"5323: General Rental Centers",2
61,5324T,"5324: Commercial and Industrial Machinery and Equipment Rental and Leasing",2
62,533T,"533: Lessors Of Nonfinancial Intangible Assets (Except Copyrighted Works)",1
63,54T,"54: Professional,Scientific,and Technical Services",0
64,5411T,"5411: Legal Services",1
65,5412T,"5412: Accounting,Tax Preparation,Bookkeeping,and Payroll Services",1
66,5413T,"5413: Architectural,Engineering,and Related Services",1
67,5413XT,"5413pt: Architectural and Related Services",2
68,54133T,"54133: Engineering Services",2
69,5414T,"5414: Specialized Design Services",1
70,5415T,"5415: Computer Systems Design and Related Services",1
71,5416T,"5416: Management,Scientific,and Technical Consulting Services",1
72,5417T,"5417: Scientific Research and Development Services",1
73,5418T,"5418: Advertising,Public Relations,and Related Services",1
74,5419T,"5419: Other Professional,Scientific,and Technical Services",1
75,56T,"56: Administrative and Support and Waste Management and Remediation Services",0
76,561T,"561: Administrative and Support Services",1
77,5613T,"5613: Employment Services",2
78,5615T,"5615: Travel Arrangement and Reservation Services",2
79,561YT,"561pt: Other Administrative and Support Services",1
80,562T,"562: Waste Management and Remediation Services",1
81,61A,"61: Educational Services",0
82,6114A,"6114: Business Schools and Computer and Management Training",1
83,61151A,"61151: Technical and Trade Schools",1
84,6116A,"6116: Other Schools and Instruction",1
85,61171A,"6117: Educational Support Services",1
